# coding=utf-8
tras	after
la	the
caída	fall
del	of
Imperio	Empire
romano	Roman
en	in
siglo	century
V	V
influencia	influence
latín	Latin
culto	cult
gente	people
común	common
fue	was
disminuyendo	decreasing
paulatinamente	gradually
hablado	spoken
entonces	then
fermento	ferment
variedades	varieties
romances	romances
hispánicas	Hispanic
origen	origin
española	Spanish
VIII	VIII
invasión	invasion
musulmana	Muslim
Península	peninsula
Ibérica	Iberian
hace	ago
se	is
formen	form
dos	two
zonas	areas
bien	well
diferenciadas	differentiated
el	the
idioma	language
español	spanish
o	or
castellano	castilian
es	is
una	a
lengua	language
romance	romance
grupo	group
ibérico		Iberian
uno	one
de	of
los	the
seis	six
idiomas	languages
oficiales	official
ONU	UN
segunda	second
más	more
hablada	spoken
mundo	world
número	number
tienen	have
como as
materna	maternal
chino	chinese
mandarín	mandarin
es	is
también also
oficial	official
varias	more
las	the
principales	main 
organizaciones	organizations
político-económicas	political-economic
internacionales	international
lo	it
hablan	speak
como	as
primera	first
y	and
más	more
450	450
millones	million
supera	than
500	500
personas	people
si	if
contamos	we
a	to
que	that
han	have
aprendido	learned
como	as
extranjera	foreign
pudiendo	can
ser	be
tercera	third
hablada	spoken
por	by
total	total
hablantes	speakers
otras	others
continuación continuation
moderna	modern
latín latin
hablado	spoken
desde	from
III	III
historia	history
comienza	begins
vulgar	vulgar
concretamente	specifically
zona	area
central	central
hispania	hispania
